NOII_type,NOAM_type,NOCS_type,NOM_type,NMO_type,ATFD_type,FANOUT_type,NOMNAMM_type,NOA_type,NIM_type,DIT_type,LOC_type,LOCNAMM_type,CFNAMM_type,TCC_type,CBO_type,RFC_type,NOC_type,WMC_type,LCOM5_type,WOC_type,WMCNAMM_type,AMW_type,AMWNAMM_type,NOCS_package,NOMNAMM_package,NOI_package,LOC_package,NOM_package,NOPK_project,NOCS_project,NOI_project,NOM_project,NOMNAMM_project,LOC_project,visibility_type,modifier_type,isStatic_type,NOPA_type,number_private_visibility_attributes,number_protected_visibility_attributes,is_smelly
15.0,6.0,2.0,1,16.0,19.0,10.0,14,7.0,26.0,0,135,100,9.0,18.0,17.0,21.0,10.0,7,9,3.0,12,25.0,12.0,16.0,28,6.0,88,4,4.0,26.0,1.0,31,22,135,20.0,20.0,10.0,2.0,14.0,14.0,false
9.0,12.0,26.0,13,17.0,25.0,26.0,10,5.0,1.0,3,64,81,9.0,26.0,11.0,24.0,0.0,10,10,1.0,10,10.0,17.0,17.0,10,23.0,95,13,26.0,10.0,25.0,34,29,143,2.0,20.0,18.0,8.0,26.0,2.0,false
23.0,3.0,19.0,12,20.0,20.0,22.0,15,23.0,18.0,1,46,57,22.0,25.0,15.0,13.0,16.0,2,5,19.0,5,15.0,11.0,0.0,15,15.0,145,11,8.0,17.0,23.0,26,19,142,25.0,5.0,6.0,23.0,22.0,2.0,false
8.0,6.0,13.0,5,13.0,20.0,15.0,18,4.0,25.0,0,20,77,20.0,19.0,2.0,11.0,3.0,17,2,8.0,2,1.0,1.0,20.0,26,26.0,98,33,9.0,16.0,10.0,3,5,41,17.0,26.0,26.0,6.0,23.0,15.0,false
20.0,1.0,25.0,17,21.0,10.0,15.0,24,25.0,25.0,0,92,91,9.0,8.0,4.0,22.0,24.0,5,1,1.0,18,20.0,14.0,3.0,20,19.0,108,8,20.0,5.0,23.0,5,1,36,7.0,0.0,9.0,26.0,14.0,24.0,false
26.0,15.0,4.0,12,18.0,1.0,23.0,15,3.0,9.0,0,15,148,0.0,21.0,10.0,5.0,21.0,12,0,1.0,7,18.0,21.0,11.0,8,1.0,142,19,19.0,7.0,4.0,6,22,6,26.0,26.0,3.0,6.0,22.0,6.0,false
25.0,11.0,4.0,2,26.0,9.0,11.0,5,24.0,12.0,3,102,81,8.0,25.0,4.0,17.0,24.0,18,4,25.0,13,22.0,15.0,2.0,10,10.0,50,6,26.0,21.0,6.0,26,18,135,0.0,17.0,4.0,23.0,18.0,9.0,false
20.0,7.0,0.0,31,26.0,22.0,9.0,27,13.0,17.0,3,1,63,12.0,16.0,13.0,6.0,22.0,1,1,3.0,5,16.0,6.0,9.0,17,16.0,65,13,14.0,0.0,24.0,35,31,103,11.0,0.0,25.0,8.0,4.0,26.0,false
14.0,2.0,20.0,10,3.0,13.0,0.0,20,3.0,6.0,1,37,31,3.0,19.0,0.0,18.0,7.0,19,11,17.0,12,18.0,17.0,22.0,30,17.0,71,26,5.0,1.0,13.0,8,11,20,7.0,16.0,26.0,18.0,20.0,14.0,false
14.0,9.0,6.0,35,1.0,9.0,3.0,25,13.0,9.0,1,85,92,1.0,9.0,5.0,8.0,22.0,14,10,16.0,18,15.0,22.0,2.0,26,11.0,131,14,6.0,18.0,12.0,31,16,71,26.0,6.0,6.0,20.0,13.0,19.0,false
11.0,22.0,4.0,4,2.0,26.0,11.0,32,4.0,9.0,1,69,53,12.0,26.0,13.0,3.0,6.0,11,11,17.0,15,4.0,7.0,19.0,22,4.0,145,14,24.0,9.0,25.0,34,3,61,23.0,3.0,2.0,12.0,11.0,13.0,false
20.0,0.0,3.0,5,14.0,14.0,25.0,28,2.0,12.0,0,54,107,7.0,18.0,15.0,6.0,20.0,14,11,4.0,4,0.0,22.0,8.0,26,7.0,133,9,24.0,20.0,2.0,2,14,142,8.0,18.0,19.0,2.0,12.0,4.0,false
7.0,10.0,14.0,33,7.0,0.0,4.0,9,8.0,0.0,0,120,138,7.0,6.0,24.0,15.0,11.0,1,8,7.0,12,4.0,19.0,19.0,23,5.0,45,20,14.0,16.0,20.0,22,4,42,25.0,13.0,2.0,1.0,0.0,19.0,false
8.0,5.0,2.0,22,7.0,18.0,26.0,34,17.0,12.0,2,43,24,0.0,18.0,17.0,25.0,0.0,2,11,26.0,1,7.0,19.0,23.0,17,5.0,42,25,12.0,23.0,16.0,17,36,34,13.0,4.0,7.0,22.0,17.0,22.0,false
2.0,22.0,26.0,7,17.0,21.0,18.0,24,1.0,3.0,3,61,51,17.0,20.0,14.0,15.0,12.0,5,4,25.0,19,0.0,17.0,1.0,35,4.0,8,31,3.0,4.0,24.0,31,15,79,23.0,20.0,24.0,4.0,7.0,14.0,false
17.0,20.0,23.0,26,7.0,13.0,0.0,23,21.0,2.0,3,66,23,9.0,4.0,5.0,9.0,6.0,9,4,9.0,7,6.0,20.0,22.0,2,5.0,34,5,8.0,23.0,5.0,29,13,97,9.0,19.0,9.0,9.0,10.0,5.0,false
16.0,5.0,18.0,8,22.0,8.0,4.0,6,17.0,13.0,0,107,64,19.0,21.0,23.0,17.0,6.0,14,2,6.0,3,26.0,4.0,16.0,28,1.0,85,14,3.0,10.0,24.0,15,12,15,14.0,9.0,18.0,23.0,20.0,17.0,false
24.0,9.0,0.0,10,4.0,14.0,13.0,20,20.0,1.0,0,35,93,16.0,7.0,24.0,13.0,14.0,17,11,10.0,16,11.0,6.0,9.0,25,11.0,34,34,22.0,18.0,18.0,21,10,70,12.0,9.0,26.0,16.0,8.0,19.0,true
3.0,14.0,21.0,22,8.0,23.0,2.0,20,22.0,20.0,2,25,111,15.0,1.0,14.0,11.0,1.0,2,4,25.0,15,26.0,9.0,1.0,11,14.0,144,17,17.0,12.0,12.0,20,31,86,26.0,26.0,13.0,9.0,22.0,23.0,false
23.0,22.0,25.0,0,7.0,19.0,9.0,22,20.0,22.0,0,37,75,10.0,20.0,5.0,9.0,25.0,10,2,24.0,10,12.0,2.0,5.0,24,21.0,148,29,3.0,8.0,1.0,20,24,16,23.0,16.0,20.0,26.0,19.0,21.0,false
7.0,11.0,24.0,28,6.0,2.0,2.0,17,10.0,24.0,0,23,137,10.0,22.0,16.0,0.0,6.0,11,5,14.0,0,6.0,22.0,2.0,14,2.0,27,25,3.0,16.0,18.0,13,25,55,15.0,26.0,15.0,4.0,19.0,10.0,false
4.0,18.0,8.0,29,19.0,7.0,1.0,34,4.0,20.0,2,15,45,8.0,4.0,21.0,7.0,8.0,6,6,25.0,3,11.0,26.0,16.0,7,26.0,29,17,17.0,18.0,11.0,28,19,96,9.0,4.0,3.0,24.0,18.0,26.0,false
3.0,1.0,18.0,11,21.0,11.0,1.0,23,13.0,3.0,1,87,47,10.0,5.0,2.0,17.0,17.0,15,8,7.0,6,10.0,4.0,2.0,3,20.0,89,4,18.0,17.0,6.0,2,2,72,17.0,24.0,12.0,24.0,15.0,26.0,false
22.0,3.0,13.0,1,23.0,13.0,10.0,13,14.0,9.0,3,125,124,23.0,22.0,16.0,5.0,20.0,13,8,24.0,6,9.0,24.0,11.0,25,18.0,98,26,11.0,14.0,20.0,25,35,68,16.0,15.0,9.0,22.0,19.0,19.0,true
19.0,20.0,20.0,20,24.0,25.0,14.0,13,9.0,13.0,1,71,56,4.0,12.0,0.0,11.0,3.0,13,8,26.0,0,22.0,9.0,11.0,33,7.0,35,10,6.0,3.0,9.0,14,21,9,7.0,3.0,7.0,2.0,22.0,5.0,false
0.0,7.0,14.0,11,6.0,22.0,15.0,13,3.0,13.0,2,143,26,5.0,20.0,8.0,16.0,5.0,19,8,21.0,14,13.0,18.0,18.0,29,10.0,61,19,17.0,25.0,17.0,16,7,104,17.0,21.0,23.0,18.0,15.0,4.0,true
9.0,11.0,15.0,13,4.0,8.0,8.0,16,17.0,4.0,3,148,114,3.0,24.0,7.0,18.0,10.0,11,5,1.0,5,17.0,19.0,13.0,14,21.0,143,14,9.0,23.0,6.0,26,6,132,21.0,22.0,17.0,12.0,17.0,17.0,false
21.0,5.0,9.0,7,24.0,23.0,25.0,12,3.0,20.0,1,37,56,1.0,22.0,3.0,21.0,15.0,20,1,13.0,1,25.0,17.0,19.0,28,1.0,31,22,3.0,9.0,13.0,29,6,118,5.0,10.0,7.0,23.0,7.0,1.0,false
4.0,6.0,10.0,26,13.0,4.0,21.0,27,2.0,19.0,1,128,123,12.0,18.0,6.0,4.0,11.0,0,11,5.0,8,20.0,19.0,4.0,14,24.0,59,33,18.0,14.0,9.0,21,32,9,7.0,13.0,20.0,0.0,3.0,1.0,false
3.0,26.0,1.0,6,24.0,11.0,23.0,13,16.0,24.0,1,110,35,18.0,21.0,0.0,8.0,8.0,17,7,0.0,2,17.0,1.0,15.0,19,4.0,10,0,5.0,23.0,18.0,12,28,27,23.0,11.0,21.0,7.0,19.0,7.0,false
10.0,13.0,19.0,25,21.0,19.0,17.0,9,5.0,24.0,3,28,84,3.0,25.0,6.0,10.0,8.0,14,11,13.0,6,24.0,17.0,16.0,12,9.0,76,22,10.0,13.0,23.0,7,20,10,12.0,13.0,23.0,15.0,25.0,18.0,true
17.0,21.0,0.0,7,24.0,14.0,6.0,10,1.0,6.0,2,143,28,5.0,24.0,1.0,25.0,7.0,4,8,15.0,1,20.0,7.0,14.0,28,15.0,121,15,4.0,11.0,25.0,9,0,73,6.0,8.0,11.0,1.0,6.0,2.0,false
20.0,22.0,22.0,23,2.0,2.0,7.0,32,26.0,25.0,3,76,14,24.0,11.0,20.0,26.0,1.0,5,0,8.0,3,2.0,20.0,9.0,14,1.0,69,25,6.0,4.0,11.0,15,27,18,4.0,24.0,14.0,11.0,21.0,1.0,false
15.0,21.0,3.0,27,13.0,13.0,9.0,30,16.0,2.0,1,54,67,0.0,7.0,4.0,18.0,12.0,16,6,18.0,4,8.0,20.0,6.0,23,7.0,14,16,15.0,18.0,10.0,7,17,98,0.0,5.0,24.0,9.0,22.0,24.0,false
4.0,1.0,24.0,0,13.0,22.0,7.0,29,19.0,7.0,1,57,35,8.0,16.0,3.0,23.0,16.0,6,3,1.0,4,13.0,24.0,13.0,18,6.0,7,12,3.0,19.0,16.0,26,15,33,16.0,5.0,24.0,1.0,3.0,10.0,false
17.0,17.0,5.0,6,4.0,14.0,12.0,0,16.0,13.0,0,92,66,15.0,19.0,0.0,9.0,24.0,12,7,15.0,17,14.0,12.0,19.0,27,22.0,92,36,18.0,25.0,6.0,28,1,69,10.0,20.0,2.0,1.0,9.0,24.0,false
22.0,8.0,22.0,16,21.0,6.0,23.0,20,21.0,1.0,3,31,36,16.0,3.0,21.0,5.0,2.0,0,1,10.0,15,6.0,3.0,0.0,2,0.0,83,32,2.0,26.0,25.0,7,8,117,8.0,11.0,11.0,23.0,19.0,19.0,false
22.0,12.0,17.0,34,3.0,3.0,23.0,25,18.0,4.0,2,125,90,6.0,24.0,26.0,25.0,1.0,17,1,17.0,10,20.0,15.0,1.0,18,16.0,34,24,9.0,0.0,15.0,2,13,69,20.0,2.0,18.0,16.0,4.0,15.0,true
24.0,24.0,9.0,27,18.0,2.0,14.0,0,22.0,1.0,2,101,5,23.0,17.0,2.0,15.0,21.0,15,2,16.0,3,11.0,20.0,25.0,9,9.0,33,6,14.0,9.0,17.0,21,1,22,10.0,5.0,0.0,16.0,4.0,16.0,false
